Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.42,0,3.3,7.139999999999999,3.6200000000000006,8.19,23.89,0,9.319999999999999,1.9699999999999998,3.13,0.44999999999999996,22.47,25.54,28.720000000000002,21.810000000000002
Tester2,1.99,0,1.33,1.3699999999999999,1.73,7.830000000000001,37.0,1.13,15.440000000000001,2.73,11.05,0.6,17.07,38.36,35.67,9.540000000000001
Tester3,6.84,0,6.86,2.41,5.149999999999999,10.600000000000001,21.91,0,5.82,0.9,2.01,0,13.349999999999998,26.049999999999997,35.97,21.19
Tester4,0.8,0.38,3.13,12.07,9.37,17.89,4.98,0,0.6,0.23,0.1,0.49000000000000005,28.800000000000004,12.36,17.4,34.38
Tester5,0.13,0,0,13.680000000000001,0.2,24.6,3.3099999999999996,0.15,0.18,0.15,0.26,0.32999999999999996,3.55,18.37,54.78999999999999,33.97999999999999
Tester6,3.22,0,4.789999999999999,9.03,6.91,11.059999999999999,7.490000000000001,0,0.35,0,0,0.51,14.149999999999999,11.059999999999999,32.230000000000004,34.73
Tester7,1.8699999999999997,0,2.17,15.280000000000001,3.3,15.01,2.0700000000000003,0,0,0,0,0,6.490000000000001,18.23,43.46,32.06
Tester8,6.819999999999999,0,6.72,1.9600000000000002,6.279999999999999,12.86,8.34,0.33,1.25,0.52,0.25,0.62,6.719999999999999,16.15,42.589999999999996,31.83
Tester9,0.7999999999999999,0,2.76,2.38,8.93,10.59,19.04,0,4.86,0.5,0.9,0,10.09,25.440000000000005,41.54,24.329999999999995
Tester10,0.28,0,0.06,5.23,0,43.82000000000001,5.090000000000001,0.28,2.07,0.65,1.9100000000000001,0.28,31.34,28.31,20.819999999999997,20.499999999999996
Tester11,0.18,0,1.15,14.15,0,49.62,0.78,0.16,0,0,0,0,20.580000000000002,27.080000000000005,31.999999999999993,29.699999999999996
Tester12,6.79,0.06,4.38,12.930000000000001,5.73,16.44,1.79,0,0.97,0,0,0,3.84,7.5600000000000005,51.34,46.589999999999996
Tester13,0.68,0,0.39,7.86,0.54,10.49,13.19,3.14,8.969999999999999,4.609999999999999,9.349999999999998,2.9299999999999997,7.52,27.88,34.42,11.84
Tester14,0.52,0,1.4100000000000001,12.170000000000002,9.440000000000001,14.630000000000003,11.520000000000001,0,0,0.12,0,0.18,35.37,16.51,25.9,45.22
Tester15,0,0,0,0.6200000000000001,0.33999999999999997,5.779999999999999,16.75,0.8600000000000001,4.57,1.06,4.789999999999999,0.84,4.0,20.720000000000002,21.510000000000005,2.9099999999999997
Tester16,6.120000000000001,0.33,5.57,3.4800000000000004,9.479999999999999,9.38,7.7299999999999995,0,0.97,0,1.02,0,22.83,13.32,20.53,30.130000000000003
Tester17,0.17,0,0,4.63,0.17,31.009999999999994,21.849999999999994,0.4,3.08,0.62,4.16,0.5,30.319999999999997,41.42,26.089999999999996,7.999999999999999
Tester18,7.35,0,11.47,2.1900000000000004,23.67,1.94,1.1099999999999999,0.28,0.18,0.28,0,0.28,47.38,1.9599999999999997,6.46,47.32000000000001
