Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.63,0,2.13,7.9399999999999995,1.16,8.559999999999999,18.72,1.3,6.68,2.61,6.319999999999999,2.19,9.41,24.809999999999995,30.559999999999995,15.830000000000002
Tester2,0.34,0,0,0.98,0,12.459999999999999,26.55,1.03,9.18,6.89,12.739999999999998,2.78,12.550000000000002,37.97999999999999,27.249999999999996,3.09
Tester3,3.0700000000000003,0,3.66,1.86,2.84,12.840000000000002,16.810000000000002,0.35,3.8200000000000007,1.6,5.25,0.4700000000000001,12.040000000000001,25.400000000000006,26.65,15.680000000000003
Tester4,0.27,0,4.990000000000001,8.819999999999999,2.23,21.45,2.12,0.1,0.42000000000000004,0.1,0.42000000000000004,0.42000000000000004,23.96,15.420000000000002,15.309999999999997,26.659999999999997
Tester5,0.25,0,0.6,12.370000000000001,0.22,18.73,2.04,0,0,0,0,0,0.8400000000000001,16.09,47.31999999999999,32.230000000000004
Tester6,2.1500000000000004,0,4.5,9.399999999999999,8.67,6.619999999999999,3.67,0,0.35,0,0.28,0,11.519999999999998,6.14,28.14,33.68
Tester7,0.55,0,0.55,5.91,1.0,19.09,4.34,0,0.43,0,0.65,0,5.140000000000001,23.49,37.63,19.72
Tester8,5.819999999999999,0,2.53,2.34,2.63,11.11,9.519999999999998,0,3.2799999999999994,0.6799999999999999,2.02,0.42,4.8,19.5,32.82000000000001,18.84
Tester9,3.9799999999999995,0,3.0600000000000005,7.050000000000001,3.2099999999999995,12.16,10.549999999999999,0.17,0.96,0,1.22,0,7.53,16.84,33.86,24.849999999999994
Tester10,0,0,0.5700000000000001,2.61,0.18,36.55999999999999,9.709999999999999,0,1.8399999999999999,0,0.37,0,27.900000000000002,28.9,15.45,16.21
Tester11,1.72,0,5.18,11.489999999999997,1.4300000000000002,33.08,2.8200000000000003,0,0,0,0,0,21.799999999999997,18.38,23.570000000000004,31.09
Tester12,5.43,0,9.18,11.280000000000001,5.890000000000001,16.61,0.98,0,0,0,0,0,2.7699999999999996,7.930000000000001,44.81,39.06
Tester13,0.32,0,1.05,3.8400000000000003,1.28,10.69,7.29,5.219999999999999,6.609999999999999,9.57,8.459999999999999,3.6500000000000004,4.46,24.830000000000002,28.500000000000004,9.889999999999999
Tester14,1.3599999999999999,0,1.8699999999999999,11.39,7.279999999999999,11.54,7.129999999999999,0,0.82,0.12,0.29,0.12,31.74,11.13,22.040000000000003,43.900000000000006
Tester15,0.24000000000000002,0,0.5499999999999999,0.43000000000000005,0.14,5.930000000000001,16.67,0.8099999999999999,5.04,1.65,5.06,0.7999999999999999,4.5,22.580000000000002,18.869999999999997,1.9100000000000001
Tester16,5.870000000000001,0.07,4.11,7.0,4.680000000000001,8.01,7.529999999999999,0,0.5,0.19,1.38,0.19,25.930000000000003,10.639999999999999,16.51,32.489999999999995
Tester17,0.2,0,0.6900000000000001,1.47,0.22,24.749999999999993,22.119999999999997,0.08,2.5,0.86,5.23,0.08,31.679999999999996,40.72,12.530000000000001,5.84
Tester18,5.07,0,5.91,6.420000000000001,12.27,2.5500000000000003,0.22,0,0,0,0,0,37.919999999999995,1.68,5.58,42.419999999999995
