Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,1.15,0,4.07,11.940000000000001,4.47,19.669999999999998,39.71999999999999,1.2100000000000002,19.390000000000004,2.4000000000000004,8.4,1.82,31.140000000000004,51.85,58.07000000000001,39.05
Tester2,3.24,0,1.47,4.42,3.0400000000000005,13.590000000000002,41.71000000000001,2.33,24.210000000000004,8.18,14.34,4.6000000000000005,23.91,59.650000000000006,54.92999999999999,21.52
Tester3,8.99,0.25,8.040000000000001,5.82,11.490000000000002,18.280000000000005,48.26,0.15,13.370000000000001,3.91,8.560000000000002,1.0899999999999999,24.320000000000004,58.059999999999995,72.11999999999999,43.90000000000002
Tester4,0.2,0,0.5700000000000001,10.649999999999999,1.34,17.559999999999995,3.44,0,0.6799999999999999,0,0,0,21.63,8.32,10.09,24.89
Tester5,0,0,0,4.13,0,9.629999999999999,0.56,0,0,0,0,0.13,0,11.72,39.62,27.94
Tester6,5.27,0.15,11.45,13.97,8.100000000000001,13.049999999999999,7.31,0.33,1.73,0.46,1.03,0.51,20.93,14.039999999999997,47.470000000000006,54.610000000000014
Tester7,2.25,0,3.8399999999999994,15.11,3.4799999999999995,30.68,9.81,0,1.76,0,1.8800000000000001,0,10.68,40.26,78.53,51.27999999999999
Tester8,10.120000000000001,0,7.999999999999998,3.6100000000000003,4.47,11.850000000000001,11.139999999999999,0.43,3.45,1.31,0.25,0.8500000000000001,5.09,19.759999999999998,57.74000000000001,43.26999999999999
Tester9,0.9400000000000001,0,2.93,4.32,10.229999999999999,22.640000000000008,39.169999999999995,0,13.530000000000001,0.65,2.6199999999999997,0.15,12.709999999999999,50.18,78.13999999999999,40.43999999999999
Tester10,0.28,0,0.26,4.87,0.71,64.44999999999999,19.649999999999995,0.25,3.42,1.07,4.05,0.25,49.379999999999995,65.91999999999999,27.95,21.429999999999996
Tester11,0.6499999999999999,0.03,3.2900000000000005,19.28,1.0599999999999998,68.44000000000001,3.8000000000000003,0.16,0,0,0,0,31.419999999999998,38.760000000000005,49.65,45.52
Tester12,5.750000000000001,0.06,3.83,21.02,4.010000000000001,33.54999999999999,4.550000000000001,0.39,1.29,0.39,0.26,0.37,2.4,13.489999999999998,83.03999999999999,73.02000000000001
Tester13,1.2000000000000002,0,1.12,7.509999999999998,2.23,18.500000000000004,19.549999999999997,3.7199999999999998,12.61,4.390000000000001,12.459999999999999,3.05,10.069999999999999,38.39000000000001,46.04999999999999,18.77
Tester14,0.6200000000000001,0,3.75,17.8,10.77,37.76,25.13,0,1.27,0.07,1.8599999999999999,0.13,58.53,37.059999999999995,49.0,72.68
Tester15,0,0,0,1.61,0.45,5.800000000000001,16.46,2.28,6.47,2.33,6.96,2.48,4.549999999999999,23.730000000000008,23.860000000000007,4.87
Tester16,25.180000000000007,0.5900000000000001,17.960000000000004,16.360000000000003,26.14,31.770000000000003,30.410000000000004,0,5.8,0.63,1.7300000000000002,0.15,85.94000000000001,45.88,73.43999999999996,118.75000000000001
Tester17,0.39,0,0.22,1.6,0.17,36.06,34.89000000000001,0.54,4.32,0.9,6.300000000000001,0.8200000000000001,38.07,56.510000000000005,23.7,8.91
Tester18,10.140000000000002,0.24,10.690000000000001,7.47,29.320000000000007,4.610000000000001,2.56,0.1,0.8200000000000001,0.1,0,0.1,71.84,6.09,13.86,79.82000000000001
