Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.9,0,10.579999999999998,30.70000000000001,4.9399999999999995,29.71,69.80999999999999,4.370000000000001,29.84,6.380000000000001,14.360000000000003,5.57,59.309999999999995,90.46999999999998,107.02000000000002,73.58
Tester2,6.700000000000002,0,2.5599999999999996,6.1,6.420000000000002,42.73000000000001,119.96999999999998,3.61,46.910000000000004,14.99,43.55,3.88,64.55,142.64000000000001,113.64,32.84999999999999
Tester3,18.57,0.15,19.390000000000008,7.959999999999998,15.500000000000005,37.129999999999995,61.97999999999999,0.7,15.71,3.35,14.91,0.9700000000000001,43.970000000000006,83.65000000000002,107.22000000000001,66.96999999999998
Tester4,4.25,0.53,16.120000000000005,56.09999999999999,17.84,102.62,17.639999999999997,1.18,3.5100000000000002,1.9400000000000004,3.42,2.5000000000000004,126.34000000000005,73.14,87.68999999999997,149.45
Tester5,1.48,0,1.23,45.250000000000014,2.6,116.42999999999999,13.929999999999998,0.46,0.41000000000000003,0.67,0.62,1.67,6.8999999999999995,112.94999999999999,249.05,135.08999999999995
Tester6,11.700000000000001,0.30000000000000004,21.709999999999997,40.91000000000001,28.109999999999996,39.209999999999994,19.559999999999995,0.27,1.5700000000000003,0.5700000000000001,4.2299999999999995,0.8,54.68,37.49999999999999,121.27999999999997,138.15999999999994
Tester7,4.0,0,4.199999999999999,43.83999999999999,7.930000000000001,64.69000000000001,9.810000000000002,0,0,0,0.65,0.12,25.130000000000006,56.34999999999999,148.93,116.52999999999997
Tester8,25.979999999999993,0.29000000000000004,19.35,13.030000000000001,16.880000000000003,51.15999999999999,35.83,0.82,14.19,1.98,3.5,1.5299999999999998,18.819999999999997,74.78,160.95000000000002,106.73
Tester9,9.280000000000001,0.17,9.96,19.02,22.029999999999998,36.17999999999999,55.759999999999984,0.56,13.960000000000003,2.2500000000000004,11.98,0.17,34.85999999999999,79.5,133.74999999999997,86.79000000000002
Tester10,0.7000000000000001,0.17,2.22,12.080000000000002,0.9800000000000001,150.24,34.79,0.93,11.58,2.52,3.18,1.23,111.14000000000001,124.56000000000003,71.8,61.26999999999999
Tester11,3.8200000000000007,0.09,10.81,43.07,2.34,161.86000000000004,8.1,0,0.42000000000000004,0,0.15,0,102.98999999999997,82.66999999999999,101.92,125.52
Tester12,18.16,0,21.16,52.63999999999999,17.240000000000002,85.37000000000002,4.75,0,2.0,0,0,0,14.33,44.31,190.97,159.02000000000004
Tester13,2.56,0,5.3199999999999985,23.5,3.9700000000000006,41.58,47.129999999999995,16.029999999999998,34.18000000000001,27.480000000000008,30.690000000000005,15.289999999999997,32.54,103.26,125.19000000000003,56.18
Tester14,5.109999999999999,0,9.32,52.96000000000001,33.32000000000001,62.33,34.330000000000005,0.48,4.78,1.25,4.930000000000001,1.48,145.61999999999995,63.66999999999999,94.43000000000002,176.85999999999999
Tester15,0.49000000000000005,0,0.97,3.11,1.96,32.17,61.669999999999995,2.19,17.650000000000002,3.16,15.610000000000001,2.6199999999999997,19.84,88.05000000000004,80.18000000000002,13.12
Tester16,13.14,0.56,10.530000000000001,10.479999999999997,14.09,14.499999999999998,17.490000000000002,0,4.720000000000001,0.73,4.55,0.19,49.92000000000001,25.31,34.61999999999999,62.42999999999999
Tester17,0.87,0,1.11,7.520000000000001,0.94,121.64000000000003,103.75999999999999,0.48000000000000004,13.81,1.81,14.600000000000001,3.0500000000000003,134.24000000000004,185.68000000000012,73.10999999999999,25.23
Tester18,28.470000000000002,0,29.560000000000002,10.219999999999999,77.29000000000002,8.930000000000001,2.12,0.31,0.46,0.45999999999999996,0.18,0.6399999999999999,160.90000000000003,7.23,20.950000000000006,170.50999999999993
