Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.32,0,1.05,7.339999999999998,1.26,8.71,15.13,1.0,7.69,1.21,3.3699999999999997,1.58,15.51,22.659999999999997,25.8,19.19
Tester2,2.9299999999999997,0,0.7,3.46,1.19,6.6899999999999995,23.129999999999995,0.78,9.299999999999999,3.8999999999999995,11.76,0.43000000000000005,15.42,28.830000000000002,24.689999999999998,12.01
Tester3,7.94,0.02,5.3100000000000005,2.47,7.94,4.91,16.84,0.18,6.9799999999999995,0.56,4.71,0.18,12.399999999999999,19.310000000000002,30.039999999999996,21.68
Tester4,1.43,0.15,2.42,12.47,2.63,20.05,2.63,0,0.62,0,0,0,19.88,13.92,20.689999999999998,26.7
Tester5,0,0,0.38,4.6,1.58,21.990000000000002,2.19,0,0,0,0.22,0,0.9600000000000001,21.610000000000003,45.23,24.69
Tester6,3.16,0.23,6.55,9.91,5.45,7.6000000000000005,3.1999999999999997,0,0,0,0.13,0,11.309999999999997,7.86,28.549999999999997,32.52
Tester7,0.49,0,1.18,13.3,1.52,14.679999999999998,1.81,0,0,0,0,0,8.16,18.59,35.870000000000005,27.34
Tester8,6.88,0.13,6.289999999999999,1.32,4.699999999999999,5.7,10.54,0.13,4.800000000000001,0.2,0.56,0.2,3.4599999999999995,15.910000000000002,36.150000000000006,23.780000000000005
Tester9,2.6999999999999997,0.17,1.5299999999999998,1.7200000000000002,7.710000000000001,12.41,14.209999999999997,0,5.86,0,2.63,0,5.5600000000000005,22.25,37.08,19.82
Tester10,0.7000000000000001,0.17,0.73,3.26,0.53,36.36,5.29,0.25,1.8,0.25,0,0.25,20.359999999999996,30.03,20.72,16.64
Tester11,0.51,0.03,0.99,8.91,0.49,41.45,0.9500000000000001,0,0,0,0,0,19.319999999999997,22.2,28.67,24.33
Tester12,3.25,0,5.14,11.21,5.659999999999999,17.040000000000003,3.92,0.25,0.98,0.25,0,0.25,1.4100000000000001,13.69,46.82,34.81999999999999
Tester13,1.34,0,1.7,3.92,2.14,10.16,9.7,2.93,7.959999999999999,2.58,4.500000000000001,2.23,6.919999999999999,20.18,31.09,18.369999999999997
Tester14,2.02,0,2.91,8.819999999999999,10.78,13.47,11.950000000000001,0,1.4,0,1.7000000000000002,0.11,33.98,21.32,25.909999999999997,38.470000000000006
Tester15,0.25,0,0,0.64,0.30000000000000004,8.5,10.850000000000001,0.6100000000000001,2.52,0.25,2.79,0.4,3.77,17.52,16.74,3.8000000000000003
Tester16,6.7200000000000015,0.15000000000000002,4.21,3.69,6.89,4.97,7.920000000000001,0,2.83,0.22,0.45999999999999996,0,22.4,11.36,20.0,32.9
Tester17,0.42,0,0.42,0.5,0.22,32.73,22.36,0.54,0.8600000000000001,0,0.32,1.03,23.459999999999997,40.43,21.210000000000004,5.42
Tester18,6.44,0,5.24,0.43000000000000005,18.54,1.6999999999999997,1.28,0.13,0.42,0.13,0,0.13,38.400000000000006,2.8,5.039999999999999,40.64000000000001
