Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.41,0,1.78,3.51,0.37,6.39,16.630000000000003,0.43,7.93,1.18,2.9299999999999997,0.77,9.18,23.429999999999996,26.060000000000002,11.78
Tester2,1.27,0,0.56,0.2,1.16,9.13,21.879999999999995,0.42000000000000004,7.460000000000001,0.73,5.09,0.5,7.94,27.509999999999998,24.330000000000005,6.390000000000001
Tester3,1.78,0.15,1.76,2.78,1.9600000000000002,7.489999999999998,13.370000000000003,0,3.11,1.0,5.010000000000001,0.82,7.260000000000001,18.909999999999997,23.46,14.709999999999999
Tester4,0.49,0,0.57,8.66,0.6,19.169999999999998,6.330000000000001,0.16,1.0499999999999998,0.69,1.4,0.49,18.720000000000002,15.469999999999999,12.59,18.63
Tester5,0.74,0,0,4.970000000000001,0.6,16.15,0.4,0.13,0,0.26,0,0.86,0.48,15.550000000000002,37.03999999999999,21.45
Tester6,2.0700000000000003,0,6.260000000000001,5.790000000000001,3.85,8.670000000000002,2.6,0.33,1.03,0.46,1.73,0.33,8.64,7.040000000000002,22.299999999999997,23.360000000000003
Tester7,1.3199999999999998,0,0.9299999999999999,6.880000000000001,1.63,14.04,6.8100000000000005,0,1.33,0,1.8800000000000001,0,4.79,16.61,30.72,18.75
Tester8,3.55,0,3.05,4.24,1.6,8.53,6.800000000000001,0.42,2.88,0.97,0,0.77,1.4200000000000002,13.330000000000002,26.029999999999998,15.9
Tester9,0.18,0,1.55,1.65,2.88,6.16,15.890000000000002,0.39,3.96,0.39,2.37,0.17,6.869999999999998,20.35,26.860000000000003,12.709999999999999
Tester10,0,0,0.35,1.8099999999999998,0,23.650000000000006,16.229999999999997,0.65,4.45,0.45,3.0100000000000002,0.65,19.810000000000002,30.26,15.369999999999997,7.529999999999999
Tester11,1.2399999999999998,0,0.77,6.109999999999999,0.85,32.13,0.77,0,0,0,0,0,14.260000000000002,16.9,23.39,20.869999999999997
Tester12,3.25,0,1.86,11.05,1.27,16.66,0.07,0,0,0,0,0,0.41000000000000003,3.7700000000000005,38.510000000000005,35.13
Tester13,0.52,0,0.87,2.06,0.32,10.01,11.36,3.35,10.22,6.97,9.040000000000001,3.0700000000000003,7.62,23.849999999999998,23.61,7.62
Tester14,1.04,0,3.73,16.290000000000003,6.54,15.339999999999998,3.47,0,0.22,0.07,0.22,0.07,31.41,7.8999999999999995,17.330000000000002,40.83
Tester15,0,0,0.17,1.03,1.0299999999999998,6.35,9.200000000000003,0.39,1.9200000000000004,0.42999999999999994,3.0300000000000002,0.6499999999999999,4.43,16.36,14.75,3.0500000000000003
Tester16,4.84,0,3.56,3.2300000000000004,6.109999999999999,7.850000000000001,9.25,0,2.71,0.15,0.17,0.15,19.34,12.200000000000001,14.12,24.06
Tester17,0.47,0,0.22,0.85,0.25,16.24,20.950000000000003,0,1.5699999999999998,0,4.13,0.15,22.02,31.96999999999999,10.72,4.74
Tester18,5.9399999999999995,0.12,7.299999999999999,1.1600000000000001,12.38,3.26,1.1500000000000001,0,0.36000000000000004,0,0,0,27.479999999999997,3.4899999999999998,5.930000000000001,30.000000000000004
