Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0,0,3.09,5.45,1.9900000000000002,7.37,16.490000000000006,0.2,8.770000000000001,0.2,3.4200000000000004,0.37,13.33,19.76,23.48,18.169999999999998
Tester2,1.79,0,1.02,2.22,1.68,7.789999999999999,19.34,0.85,14.6,5.18,8.27,2.9400000000000004,18.26,28.33,21.119999999999997,11.55
Tester3,5.11,0.12,3.79,2.25,2.71,9.35,15.139999999999999,0,3.05,0.35000000000000003,2.2199999999999998,0,10.27,20.68,27.099999999999998,17.39
Tester4,0.72,0,2.67,10.749999999999998,2.12,17.83,1.75,0,0.08,0,0.43,0,28.290000000000003,10.44,9.680000000000001,27.96
Tester5,0.36,0,0.12,6.04,0,23.75,0.58,0,0.23,0,0.14,0.22,0.76,19.61,42.55999999999999,23.73
Tester6,2.28,0,0.53,11.29,6.0,8.38,3.0,0,0.65,0.30000000000000004,0.87,0.2,11.65,8.82,24.99,28.39
Tester7,0.55,0,1.42,8.01,1.1,16.580000000000002,1.47,0,0,0,0,0.12,4.069999999999999,7.73,34.379999999999995,31.609999999999996
Tester8,5.800000000000001,0.16,3.7399999999999998,3.57,2.67,12.36,3.89,0.37,1.65,0.35,0.35,0.37,3.18,11.649999999999999,34.83,26.960000000000008
Tester9,1.9000000000000001,0,1.83,3.3299999999999996,4.570000000000001,7.32,14.900000000000004,0,5.0,1.3299999999999998,4.279999999999999,0.15,8.330000000000002,19.22,29.169999999999998,18.570000000000004
Tester10,0,0,0.62,1.1,0.56,30.369999999999997,8.23,0,1.59,0.43,1.94,0.3,26.7,30.839999999999996,11.799999999999999,12.169999999999998
Tester11,0.18,0,2.93,11.08,0.63,29.610000000000007,3.92,0,0.15,0,0.15,0,26.409999999999997,11.930000000000001,15.61,30.030000000000005
Tester12,3.4899999999999998,0,2.94,8.17,1.4,22.45,1.6800000000000002,0.14,1.34,0.14,0.26,0.12,2.77,10.680000000000001,39.61,31.930000000000003
Tester13,0.72,0,1.98,5.84,1.1600000000000001,7.38,8.24,1.15,5.8100000000000005,2.7199999999999998,6.3999999999999995,2.36,8.659999999999998,16.289999999999996,21.26,13.86
Tester14,0.31,0,1.4700000000000002,4.46,4.859999999999999,16.44,13.06,0.48,3.6100000000000003,0.84,2.9400000000000004,0.84,29.909999999999997,20.84,22.61999999999999,31.909999999999997
Tester15,0,0,0,1.29,0.6000000000000001,6.060000000000001,10.690000000000001,0.54,4.750000000000001,0.84,2.5,0.5499999999999999,4.15,14.93,13.95,4.090000000000001
Tester16,4.66,0.22,5.57,4.0600000000000005,5.0200000000000005,7.39,6.529999999999999,0,1.77,0.48,1.8800000000000001,0,21.29,12.25,15.87,26.1
Tester17,0,0,0,0,0,23.63,25.860000000000003,0,3.0300000000000002,0,3.2800000000000002,0.18,29.159999999999997,37.17999999999999,7.690000000000001,3.62
Tester18,6.1,0,1.48,3.2199999999999998,18.82,1.18,0.6499999999999999,0,0.32,0,0.18,0.18,33.300000000000004,1.25,5.47,37.67000000000001
