Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.27,0,3.3,11.26,1.01,10.160000000000002,18.67,2.65,8.840000000000002,1.6099999999999999,3.59,2.0300000000000002,20.55,26.12,30.470000000000002,25.85
Tester2,1.62,0,0.42,2.29,3.6999999999999997,12.420000000000002,33.78,1.73,15.14,3.7399999999999998,8.979999999999999,1.23,17.22,41.28,35.51,11.790000000000001
Tester3,2.8200000000000003,0.11000000000000001,6.050000000000001,2.01,6.390000000000001,10.219999999999999,26.170000000000005,0.32,6.3,2.8499999999999996,4.2700000000000005,0.5900000000000001,12.97,31.359999999999996,36.12,20.22
Tester4,0.7400000000000001,0,2.91,13.979999999999997,2.23,23.79,3.2699999999999996,0.92,1.42,0.92,1.07,1.1,28.32,13.849999999999996,22.11,40.01
Tester5,0,0,0.13,7.72,0,20.84,5.97,0.18,0,0.26,0,0.39,0.31,33.44,61.730000000000004,26.95
Tester6,4.09,0.22,10.53,9.46,5.33,9.93,6.910000000000001,0.27,0.92,0.27,2.25,0.27,18.340000000000003,10.62,32.54,40.09
Tester7,1.4699999999999998,0,1.79,9.57,2.8600000000000003,15.969999999999999,3.12,0,0,0,0,0,7.159999999999998,11.959999999999999,45.4,38.33
Tester8,7.230000000000001,0,5.02,3.2100000000000004,3.4699999999999998,12.450000000000001,7.880000000000001,0,3.7800000000000002,0.57,0.57,0,4.33,18.0,46.27,32.69
Tester9,0.66,0,2.16,7.21,4.96,10.179999999999998,20.34,0,6.85,0.68,3.2,0,9.190000000000001,25.580000000000005,43.379999999999995,26.949999999999996
Tester10,0,0,0.15,2.9400000000000004,0.42000000000000004,43.93,9.89,0,3.25,1.81,0,0,34.41,42.14,15.59,9.650000000000002
Tester11,0.64,0.09,3.08,10.610000000000001,0,44.410000000000004,2.66,0,0.27,0,0,0,32.04,24.940000000000005,28.330000000000005,35.02
Tester12,1.6999999999999997,0,1.4900000000000002,19.02,1.3,29.72,0.8599999999999999,0,0,0,0,0,5.53,14.170000000000002,52.919999999999995,44.510000000000005
Tester13,0.18,0,0.45,7.49,0.76,11.35,16.9,3.9599999999999995,7.22,5.42,5.400000000000001,4.1,7.430000000000001,28.619999999999997,32.36,13.37
Tester14,0.48,0,1.6800000000000002,17.63,5.19,28.669999999999998,12.33,0,0,0.17,1.64,0.29000000000000004,41.74,23.030000000000005,29.629999999999995,49.209999999999994
Tester15,0,0,0.25,0.71,0,5.3500000000000005,13.969999999999999,1.26,5.319999999999999,1.2600000000000002,4.4,1.86,3.5399999999999996,19.669999999999998,18.22,2.23
Tester16,10.110000000000001,0.38,5.470000000000001,5.38,8.05,8.670000000000002,8.940000000000001,0,1.7399999999999998,0.32,1.37,0,24.07,11.420000000000002,21.03,35.5
Tester17,0,0,0,1.67,0.25,29.34,25.51,0,7.09,1.23,3.7800000000000002,1.93,35.669999999999995,50.46999999999999,18.57,6.5200000000000005
Tester18,7.71,0.12,8.85,4.27,20.929999999999996,2.91,0.27,0,0,0.15,0,0.15,48.25999999999999,2.14,6.33,52.279999999999994
