Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0,0,1.9100000000000001,4.52,1.3900000000000001,5.6000000000000005,18.25,0.35,7.02,2.25,5.75,1.52,15.45,23.520000000000003,21.6,14.459999999999999
Tester2,0.39,0,1.44,3.4099999999999997,2.14,4.46,20.520000000000003,1.87,11.18,6.84,11.58,3.72,12.28,27.550000000000004,23.55,9.4
Tester3,4.86,0,4.85,2.85,3.0300000000000002,7.209999999999999,18.75,0.38,4.45,0.4,0.81,0.38,11.88,22.140000000000004,22.610000000000003,15.73
Tester4,1.08,0,1.4100000000000001,6.86,2.01,16.120000000000005,3.3899999999999997,0.42,0.52,0.94,0.52,1.35,19.029999999999994,10.85,16.15,24.299999999999997
Tester5,0,0,0,3.94,0.29000000000000004,11.889999999999999,9.120000000000001,0,0,0,0.15,0,0.9500000000000001,27.34,37.42,14.58
Tester6,0.38,0,1.81,7.2700000000000005,1.42,19.169999999999998,4.84,0.78,1.7099999999999997,1.68,1.2,1.28,12.249999999999998,14.040000000000001,25.320000000000004,23.370000000000005
Tester7,3.48,0,4.6899999999999995,12.91,3.35,11.93,1.27,0,0,0,0,0,14.450000000000001,7.0,24.78,33.47
Tester8,1.9900000000000002,0,1.07,2.9400000000000004,0,8.38,10.29,0.27,1.77,0.37,1.7599999999999998,0.37,7.04,15.919999999999998,18.83,10.429999999999998
Tester9,0,0,0.85,4.8,2.74,8.799999999999999,13.560000000000002,0,1.84,1.08,2.5100000000000002,0.48,5.24,17.630000000000003,29.419999999999998,17.61
Tester10,0,0.16,0,1.3599999999999999,0,26.49,8.86,0,3.94,1.93,3.1,1.93,18.52,29.77,20.53,9.739999999999998
Tester11,0.08,0.13,0.89,6.409999999999999,0,29.97,4.08,0,0.1,0,0.03,0,16.9,19.69,21.71,19.099999999999998
Tester12,0.15,0,0.9199999999999999,13.06,0.18,26.58,0.54,0,0,0.17,0.17,0.17,2.84,11.760000000000002,41.49,34.14
Tester13,1.02,0,0.89,0.62,0.57,5.709999999999999,5.760000000000001,1.9,3.6100000000000003,3.16,3.83,2.6,1.98,13.590000000000002,19.35,7.800000000000001
Tester14,3.6500000000000004,0,2.65,3.79,12.990000000000002,13.079999999999998,2.7399999999999998,0,0,0,0,0,25.499999999999993,10.360000000000001,13.060000000000002,31.099999999999998
Tester15,0,0,0,1.04,0.11,4.590000000000001,12.059999999999997,12.29,26.020000000000007,16.82,14.36,15.88,12.12,38.94,24.279999999999998,2.48
Tester16,8.61,0,3.39,3.61,6.01,6.540000000000001,2.2600000000000002,0.62,0.62,0.62,0.42,0.62,19.089999999999996,7.53,15.24,28.27
Tester17,0,0,0,0.75,0.5700000000000001,18.51,20.01,0,0.88,0,7.74,0,18.16,35.87,17.1,1.32
Tester18,5.96,0.15,0.66,2.59,18.75,1.39,2.29,0,0,0,0.43,0.15,34.44,2.8500000000000005,3.5,35.1
