Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tester18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
