Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.6100000000000001,0,1.9200000000000002,4.04,2.35,7.760000000000001,14.819999999999999,0.55,5.06,3.9399999999999995,8.57,2.67,15.03,21.669999999999998,20.429999999999996,14.809999999999997
Tester2,0,0,0,1.05,0,3.1100000000000003,17.580000000000002,3.0700000000000003,12.68,11.53,20.31,5.09,11.680000000000001,33.4,22.34,1.97
Tester3,4.17,0,4.430000000000001,2.54,3.3499999999999996,7.660000000000001,16.93,1.1400000000000001,6.760000000000001,1.62,4.720000000000001,1.1400000000000001,10.370000000000003,21.61,21.93,15.03
Tester4,0.63,0,3.3899999999999997,11.330000000000002,0.7,14.049999999999999,6.960000000000001,0.3,1.93,0.3,1.52,0.3,16.009999999999998,15.010000000000002,18.8,20.63
Tester5,0,0,0,2.8,0,11.89,5.78,0,0.53,0.25,0.19,0.44,0.9400000000000001,25.150000000000002,36.239999999999995,13.48
Tester6,0,0,0.38,8.370000000000001,0.89,12.090000000000002,6.0600000000000005,0.35000000000000003,1.8499999999999999,0.6800000000000002,2.0,0.6800000000000002,12.749999999999996,13.480000000000002,20.18,21.45
Tester7,3.25,0.27,4.16,11.78,1.46,14.119999999999997,0.47,0,0,0,0,0,11.6,3.5700000000000003,24.509999999999998,35.019999999999996
Tester8,1.77,0.15,1.93,4.91,0.5,10.17,11.810000000000002,1.5299999999999998,4.74,2.23,4.590000000000001,1.6099999999999999,9.979999999999999,19.97,19.889999999999997,10.73
Tester9,0.12,0,0.53,4.199999999999999,1.67,6.71,15.099999999999998,0,3.9,2.44,5.829999999999999,0.72,6.289999999999999,20.330000000000002,26.089999999999996,12.73
Tester10,0,0.2,0.2,2.1399999999999997,0,23.089999999999996,9.209999999999999,1.4700000000000002,6.319999999999999,3.9299999999999997,5.140000000000001,0.77,18.67,35.099999999999994,19.3,2.8200000000000003
Tester11,0,0,0.67,5.640000000000001,0,23.769999999999996,3.8200000000000003,0,0.7,0.03,0,0,14.98,17.060000000000002,13.48,16.060000000000002
Tester12,1.83,0,4.68,16.06,2.6500000000000004,20.490000000000002,1.1400000000000001,0,0,0,0,0,2.38,9.0,38.129999999999995,31.78
Tester13,1.07,0,1.0,1.6800000000000002,0,5.52,5.76,1.35,3.9299999999999997,2.87,2.06,3.16,3.9299999999999997,11.750000000000002,12.680000000000001,5.029999999999999
Tester14,3.77,0,3.66,7.430000000000001,11.25,6.86,0.4,0,0,0,0,0,23.17,0.56,14.34,37.400000000000006
Tester15,0,0,0,0,0.14,3.2100000000000004,14.75,15.040000000000001,25.29,18.740000000000002,12.16,17.59,13.820000000000002,39.010000000000005,23.519999999999996,0.5900000000000001
Tester16,6.48,0,4.87,4.12,5.36,7.8,6.63,0,0.65,0,0.23,0,17.32,9.860000000000001,13.91,22.1
Tester17,0,0,0,0.58,0.32,18.68,12.7,1.12,2.0,0.22,5.589999999999999,0.8300000000000001,14.87,31.979999999999997,14.969999999999999,2.53
Tester18,1.99,0.22,0.53,3.4,8.01,2.23,0.5800000000000001,0,0.18,0,0,0,33.160000000000004,2.02,3.72,35.07
