Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.15,0,6.1800000000000015,8.33,3.39,13.12,32.52,0.75,13.46,3.6599999999999993,10.25,2.1,34.2,44.940000000000005,41.440000000000005,32.540000000000006
Tester2,0.77,0,1.54,4.1499999999999995,1.09,5.9,34.21000000000001,3.1799999999999997,22.71,9.550000000000002,26.939999999999998,8.620000000000001,19.850000000000005,52.97,43.24,11.010000000000002
Tester3,10.370000000000001,0.15,12.61,5.430000000000001,9.380000000000003,14.459999999999999,37.64999999999999,1.45,9.120000000000001,4.890000000000001,12.329999999999998,1.63,29.339999999999996,49.959999999999994,56.970000000000006,41.62999999999999
Tester4,0.87,0,1.1,5.54,1.6300000000000001,12.48,2.95,0,0.52,0.52,0.52,0.93,18.479999999999997,6.08,8.879999999999999,21.269999999999996
Tester5,0,0,0,0.3,0.12,12.6,10.01,0.08,0,0.08,0,0.08,0.15000000000000002,23.58,27.54,3.7299999999999995
Tester6,0.12,0,1.65,11.809999999999999,1.24,24.759999999999998,5.930000000000001,1.47,2.5100000000000002,2.21,4.859999999999999,0.77,16.94,21.76,42.25,37.24
Tester7,9.340000000000002,0,13.700000000000001,23.46,5.12,24.68,1.88,0,0,0,0.45,0,24.280000000000005,9.16,48.260000000000005,67.48000000000002
Tester8,1.12,0,2.0599999999999996,2.98,0.37,16.470000000000002,13.52,1.7700000000000002,4.5200000000000005,2.7100000000000004,4.8100000000000005,2.91,14.0,22.47,24.110000000000003,15.81
Tester9,0,0,0.75,10.830000000000004,7.479999999999999,19.9,32.97,0.67,7.559999999999999,2.03,12.069999999999999,0.48,12.789999999999997,44.099999999999994,60.75000000000001,31.12
Tester10,0.32,0.1,0.12,4.360000000000001,0.52,35.87,19.259999999999998,0,8.77,4.859999999999999,10.24,4.1899999999999995,30.380000000000003,53.49000000000001,34.54,15.639999999999999
Tester11,0,0.47,1.29,10.22,0.1,53.11000000000001,9.620000000000003,0.39,0.56,0.39,0.2,0.39,27.81,27.059999999999995,32.510000000000005,35.940000000000005
Tester12,1.08,0,3.2300000000000004,23.650000000000006,2.94,45.50000000000001,5.3100000000000005,0.2,0.2,0.2,0.07,0.2,3.9400000000000004,16.29,67.16000000000001,57.57
Tester13,0.9199999999999999,0,1.12,1.27,1.2100000000000002,7.370000000000001,12.0,0.94,3.23,2.15,4.84,1.33,1.61,19.08,22.889999999999997,5.51
Tester14,10.989999999999998,0,4.37,3.77,21.110000000000003,21.9,3.0199999999999996,0.09,0.09,0.09,0,0.09,49.4,14.48,23.790000000000003,61.69000000000001
Tester15,0,0,0,1.1800000000000002,0,3.0,19.89,16.37,35.39,21.67,18.520000000000007,20.43,23.91,49.82000000000001,25.729999999999997,1.45
Tester16,25.44,0.34,12.870000000000003,11.83,19.340000000000003,30.46,19.98000000000001,1.32,3.09,1.31,4.069999999999999,1.4000000000000001,68.1,35.17,53.730000000000025,90.55000000000001
Tester17,0,0,0,1.4,0.3,23.830000000000002,25.1,0.38,1.38,0,11.35,0.5,23.369999999999997,43.440000000000005,21.130000000000003,2.32
Tester18,8.07,0.12,1.26,7.6000000000000005,27.339999999999996,5.100000000000001,2.4999999999999996,0,0,0,0,0,62.82,4.5,6.840000000000001,65.78999999999999
