Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,1.32,0,7.87,19.210000000000004,3.9999999999999996,27.040000000000003,61.69999999999997,1.64,18.05,7.69,34.540000000000006,5.879999999999999,62.23000000000002,84.77,70.86,53.68999999999999
Tester2,1.21,0,1.28,10.200000000000001,3.66,19.450000000000003,73.77999999999999,11.389999999999999,44.49,32.14,64.78,19.049999999999997,51.050000000000004,117.57000000000001,81.66999999999997,24.449999999999996
Tester3,17.259999999999994,0.05,13.989999999999998,7.59,10.799999999999999,25.959999999999994,47.61000000000001,2.8600000000000003,17.42,6.2700000000000005,14.159999999999998,4.02,38.37,67.64999999999998,76.82999999999997,55.18
Tester4,1.57,0,13.899999999999999,42.08999999999998,8.920000000000002,78.00999999999999,23.0,2.08,5.049999999999999,2.36,6.77,2.36,79.38,65.20000000000002,83.75000000000003,108.38000000000001
Tester5,0,0,0,22.360000000000003,0.35,71.92000000000002,44.13999999999999,2.52,0.9,3.14,1.2899999999999998,1.15,3.8999999999999995,135.14000000000001,190.82999999999996,63.629999999999995
Tester6,1.23,0,2.8800000000000003,38.69999999999999,2.44,60.809999999999995,21.770000000000007,1.26,4.74,2.6799999999999997,4.859999999999999,2.6299999999999994,55.14,50.120000000000005,91.95000000000002,102.07000000000001
Tester7,15.610000000000001,0.27,17.07,56.80999999999999,7.850000000000001,45.36000000000001,3.3499999999999996,0,0,0.2,0,0.2,52.85999999999998,13.969999999999999,97.61999999999996,139.74
Tester8,8.859999999999998,0.22,7.820000000000002,12.750000000000002,5.76,30.86,43.32000000000001,5.43,23.170000000000005,8.62,18.540000000000003,7.25,34.690000000000005,76.54,86.76999999999998,49.0
Tester9,2.25,0,3.12,9.58,9.929999999999998,18.230000000000004,58.949999999999996,0.3,15.44,7.169999999999999,28.549999999999994,2.6799999999999997,24.749999999999993,73.86000000000001,93.65,49.19999999999999
Tester10,0.17,0.45999999999999996,0.52,9.7,0.37,100.54999999999998,54.489999999999995,5.5,17.600000000000005,11.630000000000003,14.11,6.58,73.26000000000002,124.10999999999999,76.34999999999997,32.04
Tester11,0.64,0.5900000000000001,1.16,21.659999999999997,0.9199999999999999,104.59000000000002,14.740000000000002,0.28,3.03,0.53,0.57,0.36,65.55000000000001,68.42,64.98,70.28
Tester12,4.510000000000001,0,12.459999999999997,60.01999999999998,6.0200000000000005,103.50999999999998,7.05,0,0,0.17,0.29000000000000004,0.17,23.74,47.86,151.94,127.43000000000002
Tester13,3.8000000000000003,0,3.5599999999999996,5.9399999999999995,4.500000000000001,18.710000000000004,27.83,4.84,15.16,14.32,10.08,9.49,16.569999999999997,53.43000000000001,67.02,30.639999999999997
Tester14,21.150000000000002,0,14.649999999999997,22.88,47.35,32.35999999999999,3.91,0,0,0,0.47,0,94.79000000000002,15.620000000000001,55.9,140.08000000000007
Tester15,0,0,0,4.080000000000001,0.25,17.160000000000004,67.81999999999998,56.61999999999998,104.65,69.92999999999998,61.24,70.21999999999998,60.4,168.88999999999996,103.32999999999998,8.68
Tester16,17.39,0.12,7.289999999999999,5.9799999999999995,9.51,18.83,11.069999999999999,0,0.21,0,0.68,0.08,38.17999999999999,21.31,34.38000000000001,53.25000000000001
Tester17,0,0,0,5.380000000000001,0.5900000000000001,74.68000000000002,71.52000000000001,1.75,8.89,0.45,33.82,3.7600000000000002,78.01999999999998,147.96,67.96000000000001,11.0
Tester18,16.199999999999996,0.79,2.04,6.489999999999999,50.06000000000001,6.070000000000001,3.830000000000001,0,0.18,0,1.22,0.37,130.78000000000003,8.160000000000002,14.069999999999999,136.36
