Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.43,0,2.45,4.89,1.3599999999999999,3.89,14.57,0.75,7.26,1.17,8.58,2.33,14.11,19.77,17.64,14.590000000000002
Tester2,1.07,0,0.12,2.01,2.04,5.489999999999999,14.29,3.3200000000000003,10.33,5.8100000000000005,11.44,4.18,11.119999999999997,24.040000000000003,19.78,8.32
Tester3,4.59,0.03,4.76,1.6699999999999997,4.18,4.4,13.450000000000001,0.12,3.38,2.16,6.01,1.2800000000000002,7.499999999999999,19.61,26.950000000000003,16.080000000000002
Tester4,0.07,0,2.9,9.49,1.25,12.84,3.35,0.99,0.07,0.99,1.8900000000000001,0.99,13.569999999999999,9.3,14.57,21.699999999999996
Tester5,0,0,0,4.26,0.18,13.9,9.34,0,0,0.2,0,0.2,0.5,23.54,36.6,13.160000000000002
Tester6,0.12,0,0.12,10.26,0.48,13.5,3.3700000000000006,0,0.2,0,0.2,0,11.06,9.42,22.049999999999997,24.439999999999998
Tester7,5.0600000000000005,0,6.55,15.16,2.21,8.99,0,0,0,0,0,0,10.489999999999998,1.7899999999999998,26.310000000000002,35.54
Tester8,1.93,0,3.0,1.66,2.2800000000000002,11.219999999999997,5.920000000000001,0.7699999999999999,1.63,1.05,1.1800000000000002,1.5100000000000002,7.88,15.8,20.850000000000005,13.950000000000001
Tester9,0.6699999999999999,0,1.3199999999999998,2.8,3.56,4.16,14.98,0,3.83,0.88,8.44,0,4.6499999999999995,19.259999999999998,28.040000000000006,14.209999999999999
Tester10,0,0.1,0.17,2.94,0,21.450000000000003,11.379999999999999,0.9099999999999999,2.1500000000000004,1.31,2.8299999999999996,0.9099999999999999,12.09,27.92,21.75,7.24
Tester11,0.14,0.46,0.07,6.38,0.6399999999999999,26.02,6.0600000000000005,0.07,0.18,0.18,0.11,0.07,10.719999999999999,16.87,20.05,15.059999999999997
Tester12,0,0,1.22,14.01,0.07,24.529999999999998,2.93,0,0,0,0,0,2.96,8.530000000000001,36.97,31.060000000000002
Tester13,1.2,0,0.73,1.46,1.0699999999999998,2.81,5.010000000000001,0.5700000000000001,2.99,3.08,1.52,0.74,1.32,9.81,13.99,5.739999999999998
Tester14,7.86,0,3.62,5.63,9.860000000000001,6.02,0.66,0,0,0,0,0,21.619999999999994,3.1100000000000003,14.58,33.68
Tester15,0,0,0,1.04,0,3.0999999999999996,19.560000000000002,8.36,20.389999999999997,11.28,10.22,10.989999999999998,9.87,34.7,22.73,2.4899999999999998
Tester16,7.679999999999999,0,2.76,3.3,5.199999999999999,7.22,4.2,0,0.25,0,0.42,0.08,14.94,7.53,17.919999999999998,25.749999999999996
Tester17,0,0,0,1.1900000000000002,0,16.15,16.769999999999996,0.4,0.4,0,7.450000000000001,0.08,14.77,28.990000000000002,13.79,2.8
Tester18,3.48,0.13,0.57,1.17,13.51,0.6699999999999999,0.72,0,0,0,0.18,0,30.18,1.0799999999999998,3.8700000000000006,33.059999999999995
