Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0,0,0.98,3.19,0.01,7.140000000000001,16.66,0.39,3.1499999999999995,1.06,7.36,0.4,14.040000000000001,22.699999999999996,18.48,10.429999999999998
Tester2,0.30000000000000004,0,0.89,1.18,0.28,2.06,16.549999999999997,1.48,9.83,4.93,13.849999999999998,5.68,9.19,26.550000000000004,20.159999999999997,2.8100000000000005
Tester3,4.22,0.02,4.35,1.71,2.8,6.429999999999999,13.210000000000003,0.37,4.199999999999999,2.1399999999999997,4.620000000000001,0.52,10.010000000000002,18.369999999999997,20.43,13.64
Tester4,0,0,1.85,5.99,0.8999999999999999,15.680000000000001,6.41,0,2.09,0,1.8,0,14.68,13.77,11.48,17.159999999999997
Tester5,0,0,0,3.85,0,9.78,8.379999999999999,0.2,0.2,0.2,0,0.2,0.82,26.42,31.75,7.3
Tester6,0,0,0.37,7.720000000000001,0.71,12.409999999999997,5.319999999999999,1.42,1.75,1.25,4.3,0.6100000000000001,8.320000000000002,14.719999999999999,22.669999999999998,16.880000000000003
Tester7,6.099999999999999,0,3.6500000000000004,10.399999999999999,0,11.43,0.48,0,0,0,0,0,11.8,4.199999999999999,22.77,32.59
Tester8,0.8500000000000001,0,1.03,1.73,0.7,6.6499999999999995,9.26,0.6,6.1000000000000005,1.2600000000000002,5.4,1.59,5.709999999999999,14.69,15.959999999999999,7.91
Tester9,0,0,0.37,4.31,1.19,6.94,16.229999999999997,0,3.7299999999999995,0,4.720000000000001,0,7.0600000000000005,18.91,21.71,10.46
Tester10,0,0.1,0,3.4300000000000006,0.37,14.38,15.540000000000003,0,5.98,4.36,5.43,3.91,13.22,27.840000000000003,20.01,8.939999999999998
Tester11,0.42,0.47,0.56,3.43,0.17,23.94,4.38,0.18,1.75,0.29,0.52,0.18,14.340000000000002,15.799999999999999,16.24,16.489999999999995
Tester12,0.6499999999999999,0,0.7,15.420000000000002,0.66,25.89,3.14,0,0,0,0,0,5.96,11.65,33.58,27.37
Tester13,0.52,0,0.42,0.39,0.59,3.46,5.36,0.83,2.3899999999999997,2.7600000000000002,2.36,1.6400000000000001,4.26,10.729999999999999,9.290000000000001,2.7199999999999998
Tester14,4.42,0,2.16,2.0100000000000002,10.3,6.31,0.47,0.09,0.09,0.09,0,0.09,25.879999999999995,5.489999999999999,11.17,33.18
Tester15,0,0,0,1.1,0,2.71,12.66,9.420000000000002,21.27,11.42,14.59,12.340000000000002,11.189999999999998,31.220000000000002,21.09,2.07
Tester16,3.8699999999999997,0.07,2.33,3.3100000000000005,2.63,10.760000000000002,6.380000000000001,0.1,0.64,0.08,0.99,0.18,16.509999999999998,12.06,11.979999999999999,18.15
Tester17,0,0,0,1.8900000000000001,0,8.16,11.71,0.25,6.359999999999999,0,9.89,2.87,12.36,29.57,16.759999999999998,1.53
Tester18,2.0999999999999996,0.12,0.98,3.2500000000000004,10.34,2.25,0.92,0,0,0,0.33,0,28.589999999999996,2.73,3.6400000000000006,29.509999999999998
