Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.15,0,4.22,6.249999999999999,2.13,6.510000000000001,13.769999999999998,0.35,4.22,2.25,5.18,0.7,18.49,19.429999999999996,17.020000000000003,17.369999999999997
Tester2,0,0,0.15,3.46,0.29000000000000004,4.860000000000001,20.609999999999996,3.3200000000000003,11.41,7.09,13.690000000000001,3.38,17.57,28.969999999999995,17.099999999999998,6.739999999999999
Tester3,5.7,0,4.249999999999999,1.87,3.72,7.09,11.83,1.01,5.15,3.18,3.75,1.01,16.650000000000002,17.69,19.37,19.76
Tester4,0.5,0,1.18,9.75,2.8799999999999994,15.919999999999998,3.89,0,0.9600000000000001,0.28,1.56,0.28,16.560000000000002,12.29,18.57,22.990000000000006
Tester5,0,0,0,6.390000000000001,0,19.589999999999996,11.34,2.18,0.17,2.35,0,0.17,0.1,27.04,39.13,12.18
Tester6,0.13,0,0,5.96,0.18,15.68,3.91,0.16,0.25,0.41000000000000003,1.0,0.16,13.580000000000004,8.24,21.74,27.839999999999996
Tester7,2.2800000000000002,0,7.21,13.39,3.61,9.080000000000002,1.57,0,0,0.2,0.45,0.2,15.15,3.27,23.709999999999997,35.13
Tester8,1.36,0.07,1.06,4.029999999999999,0.9000000000000001,4.38,9.15,0.21000000000000002,6.699999999999999,4.05,6.239999999999999,1.26,10.61,15.11,18.8,13.120000000000001
Tester9,0.84,0,0.8,2.22,4.5,5.9399999999999995,15.740000000000002,0.3,3.75,1.51,7.000000000000001,0.56,8.26,20.58,24.149999999999995,13.139999999999999
Tester10,0.37,0,0,2.9299999999999997,0.2,25.469999999999995,12.839999999999998,1.25,2.63,1.25,3.3000000000000003,1.38,20.07,27.719999999999995,17.64,10.93
Tester11,0,0,0.26,5.16,0.1,26.400000000000002,1.84,0.21,0.6799999999999999,0.21,0,0.21,16.66,13.620000000000001,14.35,18.459999999999997
Tester12,1.29,0,6.1800000000000015,12.690000000000001,2.8999999999999995,25.700000000000003,3.04,0.2,0.2,0.2,0.07,0.2,8.379999999999999,11.950000000000001,32.279999999999994,30.65
Tester13,0.4,0,0.64,0.45999999999999996,2.3,2.58,11.13,0.33,1.99,1.8699999999999999,2.74,0.49,2.27,13.260000000000002,15.85,5.640000000000001
Tester14,5.049999999999999,0,3.2900000000000005,2.08,10.09,12.17,0.38,0,0,0,0,0,23.609999999999992,5.120000000000001,11.720000000000002,31.62
Tester15,0,0,0,2.08,0,1.9200000000000002,13.66,13.71,25.509999999999998,18.080000000000002,15.17,17.71,19.240000000000002,36.779999999999994,18.59,2.41
Tester16,8.570000000000002,0.39,3.38,2.05,3.4,7.7700000000000005,5.29,0.32,0.53,0.33,0.78,0.32,17.780000000000005,8.35,13.94,24.58
Tester17,0,0,0,2.05,0,18.230000000000004,16.38,0.13,0.4,0,4.220000000000001,0.25,18.84,33.54,14.08,1.5000000000000002
Tester18,8.72,0.1,0.13,2.26,12.219999999999999,3.3599999999999994,1.09,0,0,0,0,0.22,33.68,2.0300000000000002,3.22,34.85
