Participant,AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper
Tester1,0.28,0,2.5700000000000003,4.65,0.15,9.26,16.150000000000002,0,4.8,0.6799999999999999,9.350000000000001,0.36,19.310000000000002,22.62,17.130000000000003,14.569999999999999
Tester2,0.22,0,0.22,3.24,0,5.37,18.439999999999998,1.5099999999999998,11.77,5.489999999999999,20.849999999999998,5.62,9.059999999999999,30.03,21.980000000000004,6.220000000000001
Tester3,4.09,0.15,3.96,2.38,3.1000000000000005,7.629999999999999,11.09,1.29,2.6,1.66,6.580000000000001,1.3199999999999998,11.299999999999999,18.189999999999998,22.51,16.570000000000004
Tester4,0.16,0,4.27,4.21,2.81,15.879999999999999,1.9500000000000002,0.37,0,0.37,0,0.37,18.01,10.059999999999999,13.059999999999999,22.869999999999997
Tester5,0,0,0,1.4200000000000002,0,17.47,10.19,0.22000000000000003,0,0.22000000000000003,0.95,0.22000000000000003,0.74,29.230000000000004,37.230000000000004,6.66
Tester6,0.72,0,1.85,10.929999999999998,0,12.719999999999997,4.199999999999999,0.02,1.4900000000000002,0.87,1.02,0.67,14.120000000000001,11.979999999999999,22.239999999999995,25.330000000000005
Tester7,4.78,0,4.510000000000001,16.63,2.34,14.489999999999998,1.44,0,0,0,0,0,13.650000000000002,3.3000000000000003,23.8,35.470000000000006
Tester8,2.08,0,1.7899999999999998,0.45999999999999996,1.75,6.529999999999999,10.41,3.8199999999999994,6.75,2.37,4.18,3.8199999999999994,7.470000000000001,17.52,16.549999999999997,8.67
Tester9,0.62,0,0,2.08,3.75,5.58,16.31,0.67,5.95,3.29,12.120000000000001,1.4,6.04,21.25,24.99,12.17
Tester10,0.12,0,0.27,1.26,0.32,25.539999999999996,15.919999999999998,1.8699999999999999,5.35,3.71,4.55,1.8699999999999999,21.069999999999997,29.250000000000004,11.659999999999998,8.010000000000002
Tester11,0,0,0,4.86,0.11,27.6,4.18,0.21,0.18,0.21,0.11,0.29,19.76,12.440000000000001,11.66,21.05
Tester12,1.67,0,1.99,12.429999999999998,2.5,25.82,1.57,0,0,0,0.12,0,5.16,11.260000000000002,36.65,30.000000000000007
Tester13,0.51,0,1.0,2.5999999999999996,1.18,6.0,6.8100000000000005,0.8,3.4799999999999995,2.73,2.4099999999999997,2.1900000000000004,4.42,13.37,18.75,9.22
Tester14,7.389999999999999,0,3.64,5.71,13.969999999999999,9.82,2.2800000000000002,0,0,0,0.47,0,24.410000000000004,5.460000000000001,14.820000000000002,34.79
Tester15,0,0,0,0,0,4.630000000000001,15.020000000000001,14.17,21.560000000000002,15.26,13.260000000000002,16.14,18.07,38.059999999999995,18.849999999999998,0.09
Tester16,7.619999999999999,0,3.4299999999999997,1.4200000000000002,6.25,9.200000000000001,6.29,0.28,0.61,0.28,1.91,0.28,20.639999999999997,11.150000000000002,15.119999999999997,24.950000000000003
Tester17,0,0,0,0.32,0,18.78,19.049999999999997,0.23,0.23,0.23,10.280000000000001,0.23,22.39,31.450000000000003,12.389999999999999,3.6399999999999997
Tester18,2.02,0.19,0.43,1.42,14.57,1.27,0.73,0,0,0,0.28,0,33.55,1.9500000000000002,2.9600000000000004,34.56
