Recording timestamp,Project name,Export date,Participant name,Recording name,Recording date,Event,Event value
0,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,RecordingStart,
997,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,Eye tracker Calibration start,
7327,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,MouseEvent,"Down, Left"
7409,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,MouseEvent,"Up, Left"
49551,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,MouseEvent,"Down, Left"
49684,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,MouseEvent,"Up, Left"
51831,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,MouseEvent,"Down, Left"
51919,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,MouseEvent,"Up, Left"
89788,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,MouseEvent,"Down, Left"
89892,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,MouseEvent,"Up, Left"
92862,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,KeyboardEvent,Space
94049,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,Eye tracker Calibration end,
94049,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusStart,Explanation (1)
96378,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,KeyboardEvent,Space
96416,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusEnd,Explanation (1)
96416,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusStart,Practice
98449,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusEnd,Practice
98449,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusStart,1001_DFA_ANG_XX
101332,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusEnd,1001_DFA_ANG_XX
101332,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusStart,Question Slide
105015,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,KeyboardEvent,Down
105081,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusEnd,Question Slide
105081,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusStart,1013_DFA_DIS_XX
107498,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusEnd,1013_DFA_DIS_XX
107498,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusStart,Question Slide
110050,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,KeyboardEvent,Clear
110081,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusEnd,Question Slide
110081,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusStart,ExperimentSlide
113130,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusEnd,ExperimentSlide
113130,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusStart,1072_DFA_HAP_XX
115113,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusEnd,1072_DFA_HAP_XX
115113,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusStart,Question Slide
116318,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,KeyboardEvent,End
116380,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusEnd,Question Slide
116380,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusStart,1001_DFA_ANG_XX
118746,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusEnd,1001_DFA_ANG_XX
118746,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusStart,Question Slide
120913,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,KeyboardEvent,Down
120979,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusEnd,Question Slide
120979,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusStart,1019_DFA_ANG_XX
122779,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusEnd,1019_DFA_ANG_XX
122779,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusStart,Question Slide
123829,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,KeyboardEvent,Next
123895,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusEnd,Question Slide
123895,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusStart,1001_DFA_FEA_XX
126212,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusEnd,1001_DFA_FEA_XX
126212,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusStart,Question Slide
129222,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,KeyboardEvent,Right
129278,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,ImageStimulusEnd,Question Slide
129278,EyeTrackingExperiment,07/26/2019 14:06:42,Participant1,RandomMuted1,07/26/2019 13:09:15,VideoStimulusStart,1048_DFA_ANG_XX
