Recording timestamp,Project name,Export date,Participant name,Recording name,Recording date,Event,Event value
0,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,RecordingStart,
1203,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,Eye tracker Calibration start,
10149,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,MouseEvent,"Down, Left"
10202,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,MouseEvent,"Up, Left"
51783,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,MouseEvent,"Down, Left"
51919,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,MouseEvent,"Up, Left"
56196,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,Eye tracker Calibration end,
56196,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,ImageStimulusStart,Explanation (1)
61039,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,Space
61079,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,ImageStimulusEnd,Explanation (1)
61079,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,ImageStimulusStart,Practice
63146,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,ImageStimulusEnd,Practice
63146,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,VideoStimulusStart,1019_DFA_NEU_XX
65512,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,VideoStimulusEnd,1019_DFA_NEU_XX
65512,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,ImageStimulusStart,Question Slide
67738,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
67812,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,ImageStimulusEnd,Question Slide
67812,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,VideoStimulusStart,1048_DFA_ANG_XX
68251,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68282,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68315,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68349,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68380,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68413,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68447,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68478,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68511,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68546,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68578,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68611,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68644,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68675,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68708,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68742,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68774,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68806,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68839,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68871,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68903,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68937,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
68971,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69003,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69038,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69070,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69100,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69137,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69166,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69200,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69234,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69264,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69299,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69331,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69364,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69397,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69431,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69461,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69496,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69529,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69562,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69595,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69629,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69659,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69691,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
69724,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,VolumeDown
70461,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,VideoStimulusEnd,1048_DFA_ANG_XX
70461,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,ImageStimulusStart,Question Slide
74022,EyeTrackingExperiment,07/26/2019 14:10:15,Participant1,SequentialMuted1,07/23/2019 15:21:14,KeyboardEvent,Right
