AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0,0,0,0,0,0.45,0.86,0.53,0.53,0,0.53,0,0.53,1.39,1.17,0.3,Negative
0.34,0,0,0,0,1.67,1.67,0,0,0,0,0,0.34,1.67,1.85,0.53,Negative
0.4,0,0.73,0,0.58,0.35,0.88,0,0,0,0.53,0,0.93,0.88,1.28,0.98,Negative
0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,1.53,1.9,Negative
0,0,0,0,0,0.38,0.65,0,0,0,0.65,0,0,1.86,2.42,0.55,Negative
0,0,0,0,0,0,0.82,0,0,0,0.3,0,0.15,1.07,2.02,1.1,Negative
0,0,0,0.2,0,2.16,0,0,0,0,0,0,2.16,1.96,0,0.2,Negative
0,0,0,2.48,0,2.48,0,0,0,0,0,0,1.6,2.48,1.05,0.17,Negative
1.2,0,1.2,0.57,0,0.31,0,0,0,0,0,0,0,0,2.32,2.32,Negative
0.16,0,0.43,0,0.32,0,0.32,0,0,0,0,0,1.54,0.32,0.71,1.81,Negative
0,0,0,0,0,0,2.34,0,0,0,0,0,2.12,2.34,0.22,0,Negative
0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0.47,1.95,Negative
0,0,0,2.01,0,1.34,1.09,0.63,0.86,0.28,0.58,0.63,2.01,2.29,1.96,1.67,Negative
0.35,0,0,0.1,0,1.22,2.85,0,0,0,1.63,0,1.67,2.96,1.75,0.45,Negative
0.97,0,0,0.15,0.93,1.45,2.09,0,0,0,0.64,0,0.92,2.31,2.67,1.28,Negative
0,0,0,1.94,0.08,1.95,0,0,0,0,0,0,0.83,1.95,3.34,2.22,Negative
0,0,0.13,0.35,0,0.9,0.6,0,0,0,0,0,0.43,3.71,3.41,0.13,Negative
0,0,0,1.4,0,0,0,0,0,0,0,0,0.37,0,3.18,3.55,Negative
0,0,0,0,0,2.67,1.27,0,0,0,0,0,0,4.29,4.29,0,Negative
1.84,0,1.6,0,0.18,0.48,0,0,0,0,0,0,0.69,1.18,3.21,2.72,Negative
0.17,0,0,0.28,0,4.19,0.92,0,0,0,0,0,4.19,3.91,1.08,0.45,Negative
0,0,0,0.18,0,4.41,0,0,0,0,0,0,2.81,4.41,1.78,0.18,Negative
0.73,0,0.5,0.38,1.07,1.67,1.5,0,0,0,0,0,0.07,1.67,4.22,2.61,Negative
0.24,0,0.24,0,0,0.89,1.69,1.01,1.01,0.33,1.16,0.33,0.59,3.05,3.19,0.73,Negative
1.96,0,0.54,0.25,1.25,0.31,0.46,0,0,0,0,0,2.03,0.46,2.37,3.65,Negative
0,0,0,0,0,3.64,3.38,0.54,0.54,0,0,0.54,3.63,4.43,0.8,0,Negative
0,0,0,0,0,0,0.62,0,0,0,0,0.07,0,0.78,1.63,0.85,Positive
0,0,0,0,0,1.66,1.66,0,0,0,0,0,0,1.66,1.66,0,Positive
0,0,0.16,0.2,0.16,0.47,1.18,0,0,0,1.18,0,0.16,1.45,1.65,0.36,Positive
0,0,0,0.34,0,1.19,0,0,0,0,0,0,0.74,1.19,0.85,0.4,Positive
0,0,0,0,0,0,0.18,0,0,0,0,0,0,1.83,1.83,0,Positive
0,0,0,0.76,0,0.48,0.7,0,0,0,0.7,0,1.46,1.19,0.49,0.76,Positive
0,0,0,0,0,1.78,0,0,0,0,0,0,0,1.78,1.78,0,Positive
0.53,0,0.53,0,0,0.42,0.23,0,0,0,0,0,0.24,0.65,1.53,1.13,Positive
0,0,0.04,0.35,0.04,0,0,0,0,0,0,0,0.54,0,1.13,1.67,Positive
0,0,0,0,0,1.31,0,0.65,0.65,0,0.65,0.65,1.97,1.97,0.65,0,Positive
0.18,0,0.3,1.0,0,0.67,0,0,0,0,0,0,0.3,0.67,1.85,1.47,Positive
0.17,0,0,0.92,0,0.72,0.07,0,0,0,0,0,0,0.53,1.56,1.02,Positive
0,0,0,0,0,1.08,0.96,0,0,0,0.55,0,0.96,1.63,0.67,0,Positive
0,0,0,2.7,0,0,0,0,0,0,0,0,2.7,0,0.18,2.7,Positive
0,0,0.17,0.29,0,0.9,0.28,0,0,0,0.28,0,1.35,1.01,0.41,0.47,Positive
0.8,0,1.06,0,0.35,0.51,0.22,0,0,0,0,0,1.37,0.51,0.29,1.15,Positive
0,0,0,0,0,0,1.69,0,0,0,1.69,0,1.69,1.69,0.26,0.26,Positive
1.76,0,0.98,0,0.98,0,0,0,0,0,0,0,1.76,0,0,1.76,Positive
0,0,0.77,0,0.77,0,0.47,0,0,0,0,0,0.77,0.62,1.04,1.18,Neutral
1.21,0,0,0,0,0.9,0.9,0,0,0,0,0,2.12,0.9,0,1.21,Neutral
0,0,0,0,0,1.91,1.76,0,0,0,0,0,0,1.91,1.91,0,Neutral
