@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class {Angry,Sad,Happy,Disgust,Neutral,Fear}

@data
2.4699999999999998,0,2.5900000000000003,7.040000000000001,1.8699999999999999,12.22,10.690000000000001,1.56,1.7400000000000002,0.69,3.64,0.94,15.770000000000003,22.199999999999996,23.249999999999996,16.35,Disgust
8.290000000000001,0,3.84,7.549999999999999,7.75,31.91,23.73,2.6,2.83,0.7600000000000001,5.07,1.73,29.26,45.53,44.779999999999994,26.96,Fear
3.4400000000000004,0,3.2399999999999998,6.56,1.53,11.190000000000001,7.790000000000001,0.65,0.65,0,5.050000000000001,0.72,15.239999999999998,18.540000000000003,18.419999999999998,14.0,Happy
3.8499999999999996,0,1.58,2.68,1.94,12.910000000000002,11.36,0,0.23,0,2.21,0,13.809999999999999,21.639999999999997,21.08,12.86,Neutral
7.04,0.15,3.6599999999999997,8.44,5.16,28.39,20.160000000000004,0.17,0.24,0.08,1.3,0.15000000000000002,27.299999999999997,40.84,39.88000000000001,23.740000000000006,Sad
3.33,0.38,6.43,2.42,8.0,17.03,11.040000000000001,0.6000000000000001,1.8099999999999998,0.15,2.37,0.15,21.480000000000004,25.590000000000003,20.080000000000005,14.590000000000002,Angry
6.720000000000001,0,3.92,7.979999999999999,3.27,12.17,7.740000000000001,0.17,0.22,0.12,2.1399999999999997,0.12,20.97,18.990000000000006,16.04,16.279999999999998,Disgust
3.5900000000000003,0.15,4.03,4.01,8.81,31.729999999999997,18.380000000000003,0.9,1.7799999999999998,0.30000000000000004,4.529999999999999,1.02,38.480000000000004,47.400000000000006,33.84,21.4,Fear
0.76,0,1.68,5.44,3.12,15.15,15.379999999999997,0.69,1.61,0.55,8.57,0.69,20.22,27.44,19.800000000000004,10.379999999999999,Happy
5.61,0,2.79,1.5999999999999999,1.28,23.560000000000002,13.049999999999999,0.62,0.95,0,2.93,0.55,23.25,30.6,22.55,13.65,Neutral
4.42,0,1.7499999999999998,4.960000000000001,0.6500000000000001,11.51,10.62,1.57,1.6800000000000002,0.15,1.7900000000000003,0.15,21.330000000000005,19.129999999999995,19.02,18.759999999999998,Sad
3.6799999999999997,0,4.47,3.36,7.47,20.73,15.899999999999999,0.08,1.5499999999999998,0.5,4.93,0.9600000000000001,16.37,23.98,32.37,26.720000000000002,Angry
2.12,0,2.87,2.9000000000000004,2.77,19.770000000000003,18.130000000000003,0.21,0.78,0.21,8.21,0.53,20.15,26.68,29.3,22.919999999999998,Disgust
1.36,0,5.84,4.44,8.56,18.82,13.76,0,1.37,0,4.470000000000001,0,21.8,19.080000000000005,25.340000000000003,28.98,Fear
2.6100000000000003,0,2.94,5.420000000000001,2.5,21.23,16.88,0.21000000000000002,1.78,0.21000000000000002,3.71,0.47000000000000003,25.46,26.400000000000006,23.549999999999997,21.689999999999998,Happy
3.58,0.16,4.24,8.38,3.42,26.21,13.149999999999999,0,1.7600000000000002,0.36,5.449999999999999,0.36,28.07,20.779999999999998,24.39,32.7,Neutral
2.85,0.04,4.05,6.43,5.17,21.229999999999997,9.69,0,0,0.32,1.92,0.32,19.39,16.41,30.39,33.81,Sad
7.4300000000000015,0,11.290000000000001,18.54,7.54,48.4,30.890000000000004,1.5899999999999999,3.11,2.11,5.32,2.36,42.510000000000005,38.64,68.87,77.08999999999999,Angry
9.92,0,22.860000000000003,12.24,12.32,52.43000000000001,25.879999999999995,0.19,1.38,0.19,3.5,0.31,54.74,45.16,59.69,76.43999999999998,Disgust
7.26,0,7.35,4.09,11.42,22.56,13.07,0,0.25,0,0.45,0,24.630000000000003,17.02,32.089999999999996,39.57,Fear
1.9,0,1.35,6.57,0.6,17.400000000000002,17.389999999999997,1.53,4.38,1.53,6.29,2.55,27.94,21.099999999999998,16.47,24.49,Happy
2.7500000000000004,0,4.45,9.57,9.530000000000001,24.720000000000002,14.91,0.6599999999999999,5.390000000000001,3.06,10.17,4.16,46.010000000000005,23.42,19.24,43.34,Neutral
3.09,0.12,13.99,16.39,8.219999999999999,39.99,38.00000000000001,1.7200000000000002,4.390000000000001,2.17,8.76,4.74,61.17,39.480000000000004,51.94,75.39000000000001,Sad
0.49,0,2.03,4.960000000000001,2.12,16.04,14.850000000000001,0.31,0.25,0.35,10.280000000000001,0.35,9.75,21.629999999999995,33.81999999999999,25.42,Angry
