@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class {Angry,Sad,Happy,Disgust,Neutral,Fear}

@data
2.07,0,2.4899999999999998,4.880000000000001,1.02,14.819999999999999,8.75,2.8000000000000003,5.69,1.29,6.5600000000000005,2.44,21.18,23.9,15.920000000000002,13.09,Disgust
3.15,0,3.1599999999999997,3.58,3.55,13.91,13.36,0.22,1.24,1.15,2.5,1.15,20.65,20.21,15.989999999999997,16.15,Fear
3.7399999999999998,0.12,1.9,3.63,1.61,14.370000000000001,8.94,1.5699999999999998,1.82,0.93,3.42,1.1800000000000002,20.490000000000002,19.22,15.779999999999998,14.309999999999999,Happy
5.51,0.22,3.0500000000000003,2.71,2.1,17.11,10.659999999999998,1.9400000000000002,1.79,1.46,1.4900000000000002,1.46,15.6,21.089999999999996,21.429999999999993,11.28,Neutral
1.12,0,3.41,5.66,6.37,8.68,6.470000000000001,2.81,4.6,2.44,5.11,2.9000000000000004,19.330000000000005,17.880000000000003,17.0,16.509999999999998,Sad
3.5300000000000002,0,3.8999999999999995,2.36,3.3100000000000005,12.7,12.96,2.32,3.5700000000000003,0.76,6.959999999999999,1.46,20.74,24.31,20.78,17.229999999999997,Angry
6.1,0.22,3.57,6.909999999999999,3.8200000000000003,11.22,6.699999999999999,0.61,1.73,0,2.65,0.3,22.349999999999998,18.37,14.960000000000003,18.45,Disgust
3.39,0,4.07,4.97,2.7399999999999998,12.119999999999997,10.999999999999998,1.5699999999999998,2.01,0.27,3.14,0.83,21.38,17.56,15.08,16.88,Fear
2.76,0.02,1.64,3.82,1.22,13.889999999999999,10.180000000000001,2.79,5.16,0.6,9.62,1.42,23.55,26.310000000000006,14.22,10.379999999999999,Happy
6.3999999999999995,0,3.18,9.81,3.0100000000000002,13.47,11.280000000000001,0.8200000000000001,0.92,0.13,4.21,0.26,31.03,19.11,12.8,22.559999999999995,Neutral
